,time,value
0,0,0.2486945811864699
1,1,1.6026585101225974
2,2,0.853022675320535
3,3,2.106578445974187
4,4,2.61834975447546
5,5,3.1255263180190265
6,6,3.4072694966271273
7,7,5.028173038114137
8,8,4.847174610100144
9,9,4.725575265824256
10,10,5.315100274066403
11,11,6.425629484124813
12,12,6.156657816444244
13,13,6.493558359022352
14,14,8.026002472608765
15,15,8.926176827541024
16,16,6.974466600151787
17,17,8.10449105006956
18,18,7.873530249105385
19,19,8.264361772616384
20,20,11.032810554771318
21,21,9.429900246296986
22,22,8.519233828931252
23,23,11.365586644588063
24,24,8.94442526305864
25,25,10.363802171177017
26,26,7.78192122979298
27,27,8.846830383679151
28,28,9.26758875256297
29,29,9.839518472010484
30,30,10.280719687717122
31,31,7.533098547062266
32,32,9.734623800464785
33,33,8.383571755737984
34,34,9.019082893351985
35,35,8.501953474248388
36,36,7.76790823387194
37,37,6.336833564916661
38,38,5.883050299947319
39,39,6.2520705589033625
40,40,6.0507364012771525
41,41,5.717965125774867
42,42,3.922618317110965
43,43,3.8135897736749103
44,44,4.660519477471882
45,45,3.1803015861206863
46,46,1.391447158947067
47,47,0.6242024821513117
48,48,0.8016568554460024
49,49,0.5537666702202677
50,50,-1.3351298404055147
51,51,-1.2963890445433077
52,52,0.18369829229222923
53,53,-4.300303581186612
54,54,-2.4847404166638283
55,55,-5.983336686176042
56,56,-2.1511305979167012
57,57,-4.108742982172698
58,58,-5.27614769298186
59,59,-5.3425015407493746
60,60,-6.3181427057256
61,61,-7.0258301525620395
62,62,-7.127367318941502
63,63,-8.440605930873321
64,64,-7.1344075352588305
65,65,-8.166415069497575
66,66,-7.593653815939893
67,67,-9.238474067728836
68,68,-9.96003178302724
69,69,-9.275339605152858
70,70,-8.684846659498781
71,71,-9.212502736466408
72,72,-10.969740355308442
73,73,-10.634651552718427
74,74,-7.724521752232132
75,75,-8.298669902494215
76,76,-10.777129159682454
77,77,-9.04928120147467
78,78,-10.416617426255915
79,79,-6.939066410726843
80,80,-10.320278898427174
81,81,-9.786578935080144
82,82,-8.912330570942137
83,83,-7.889580627935851
84,84,-8.635020734631224
85,85,-8.609086387157246
86,86,-7.972607132148046
87,87,-5.967874423285849
88,88,-6.506690972960312
89,89,-5.432741727740463
90,90,-3.6742751725066976
91,91,-6.017779544456615
92,92,-4.915682927382553
93,93,-5.271916018454512
94,94,-2.4687818475530667
95,95,-4.397599864662767
96,96,-2.1435480479209295
97,97,-2.363334371298012
98,98,-0.2050245691695992
99,99,1.493278353566079
100,100,1.8325580931557623
101,101,1.0418230622505382
102,102,0.6986899384685425
103,103,3.5511269090964284
104,104,2.9446836875814673
105,105,4.308643763620356
106,106,3.0667605682532897
107,107,5.5253998262598705
108,108,4.7150307120633945
