ID,sine_signal mu predicted,sawtooth_signal mu predicted
100.0,-0.06286892294883728,-0.8888858556747437
101.0,0.15856307744979858,-1.4789355993270874
102.0,0.3429039716720581,-1.3390032052993774
103.0,0.5274064540863037,-1.1593255996704102
104.0,0.6451495885848999,-0.966851770877838
105.0,0.7813708186149597,-0.7935246825218201
106.0,0.9074808359146118,-0.5981515645980835
107.0,1.0610264539718628,-0.4698741436004639
108.0,1.2132391929626465,-0.3268985152244568
109.0,1.3177087306976318,-0.1851566731929779
110.0,1.387996792793274,-0.05380634963512421
111.0,1.4288318157196045,0.13897745311260226
112.0,1.4350355863571167,0.3174463212490082
113.0,1.4499702453613281,0.4968926310539246
114.0,1.411211371421814,0.6608713269233704
115.0,1.347459316253662,0.7954041957855225
116.0,1.2398414611816406,0.9839355349540708
117.0,1.1193543672561646,1.176408052444458
118.0,1.010975360870361,1.4703510999679563
119.0,0.914336621761322,0.8111519813537598
120.0,0.7863867878913879,-0.5875623822212219
121.0,0.6054255366325378,-1.5042433738708496
122.0,0.42443206906318665,-1.3471492528915403
123.0,0.2731384634971619,-1.1515685319900513
124.0,0.08349905908107758,-0.9474124312400818
125.0,-0.07060045748949051,-0.7583791613578796
126.0,-0.22665660083293915,-0.6117602586746216
127.0,-0.430740088224411,-0.4740392863750458
128.0,-0.6069534420967102,-0.3217570781707764
129.0,-0.7572824358940125,-0.18247723579406736
130.0,-0.8877208828926086,0.00017954036593437195
131.0,-1.029166579246521,0.20307444036006927
132.0,-1.167630672454834,0.3810561001300812
133.0,-1.2587308883666992,0.5603819489479065
134.0,-1.3332172632217407,0.7197005152702332
135.0,-1.3919246196746826,0.8668591976165771
136.0,-1.4409433603286743,1.0686496496200562
137.0,-1.4407538175582886,1.222602367401123
138.0,-1.4304746389389038,1.483043909072876
139.0,-1.4076393842697144,0.7499138116836548
140.0,-1.3643879890441897,-0.4481583833694458
141.0,-1.2909847497940063,-1.4035778045654297
142.0,-1.187448501586914,-1.3359407186508179
143.0,-1.1073647737503052,-1.1413934230804443
144.0,-0.9476953744888306,-0.9412685036659241
145.0,-0.7535508871078491,-0.7557892799377441
146.0,-0.5248037576675415,-0.6213098764419556
147.0,-0.3242383301258087,-0.4630431532859802
148.0,-0.1625150740146637,-0.3129150867462158
149.0,-0.062449090182781226,-0.17951488494873047
150.0,0.06435146182775497,-0.049128353595733636
151.0,0.19066187739372253,0.16054463386535645
152.0,0.3234209716320038,0.3146144449710846
153.0,0.5322733521461487,0.4948779940605164
154.0,0.7213159799575806,0.6669912338256836
155.0,0.8843510746955872,0.833217203617096
156.0,1.042349934577942,1.0045783519744873
157.0,1.1472293138504028,1.1996361017227173
158.0,1.2600117921829224,1.4765617847442627
159.0,1.3414286375045776,0.6038140058517456
160.0,1.383976936340332,-0.6277408599853516
161.0,1.416482925415039,-1.4675202369689941
162.0,1.4350429773330688,-1.300618290901184
163.0,1.4429951906204224,-1.130437970161438
164.0,1.4146573543548584,-0.9698201417922974
165.0,1.3489828109741209,-0.8102715611457825
166.0,1.2711868286132812,-0.6221215128898621
167.0,1.1780903339385986,-0.5017437934875488
168.0,1.082089066505432,-0.3649750649929047
169.0,0.9712315797805786,-0.2258623093366623
170.0,0.7824656963348389,-0.06238394975662233
171.0,0.6454141736030579,0.12386961281299592
172.0,0.4999728500843048,0.2963525652885437
173.0,0.3264341950416565,0.4957345724105835
174.0,0.1812551319599152,0.6689683794975281
175.0,-0.02158259227871895,0.7923219203948975
176.0,-0.2063513547182083,0.9838057160377502
177.0,-0.3906104862689972,1.1508270502090454
178.0,-0.5640285015106201,1.4289797544479368
179.0,-0.7154814004898071,1.1729795932769775
180.0,-0.8787362575531006,-0.2837182283401489
181.0,-1.0413988828659058,-1.4825515747070312
182.0,-1.1920946836471558,-1.3455038070678709
183.0,-1.294269561767578,-1.1435052156448364
184.0,-1.3566653728485107,-0.9370912313461304
185.0,-1.413357853889465,-0.7938699126243591
186.0,-1.4469969272613523,-0.602710485458374
187.0,-1.4772355556488037,-0.4473989009857178
188.0,-1.4766095876693726,-0.2744271159172058
189.0,-1.4308931827545166,-0.10731282830238342
190.0,-1.3706392049789429,0.03830992802977562
191.0,-1.2781029939651491,0.219069242477417
192.0,-1.1639692783355713,0.3787373900413513
193.0,-1.0549339056015017,0.5480433106422424
194.0,-0.9707188010215759,0.7347224354743958
195.0,-0.837875247001648,0.91056489944458
196.0,-0.6722098588943481,1.045278787612915
197.0,-0.4281357526779175,1.2812985181808472
198.0,-0.2477464675903321,1.4619959592819214
199.0,-0.15838879346847534,0.3057733476161957
200.0,-0.0490468479692936,-0.7598690390586853
201.0,0.1842733919620514,-1.507483720779419
202.0,0.3803851604461671,-1.3457621335983276
203.0,0.5728676915168762,-1.1614701747894287
204.0,0.7039275765419006,-0.9659784436225892
205.0,0.8181540966033936,-0.7854265570640564
206.0,0.923003077507019,-0.6373816728591919
207.0,1.0684335231781006,-0.4836162924766541
208.0,1.1911592483520508,-0.3370642066001892
209.0,1.308044195175171,-0.21813511848449707
210.0,1.396715760231018,-0.11495043337345125
211.0,1.4428595304489136,0.06085262075066567
212.0,1.4744189977645874,0.2409821152687073
213.0,1.452920913696289,0.4386859834194183
214.0,1.440142273902893,0.6404748558998108
215.0,1.3671290874481201,0.7861133813858032
216.0,1.272124171257019,0.9613200426101683
217.0,1.1608078479766846,1.149329423904419
218.0,1.0470347404479978,1.4152820110321045
219.0,0.9641494154930116,0.8985724449157715
220.0,0.8252865672111511,-0.4385259747505188
221.0,0.6637150049209595,-1.5099936723709106
222.0,0.5110000371932983,-1.3433825969696045
223.0,0.2991957366466522,-1.1744781732559204
224.0,0.16502688825130465,-0.984353482723236
225.0,-0.11498108506202698,-0.8147028684616089
226.0,-0.3237046003341675,-0.6540554165840149
227.0,-0.4418911337852478,-0.5212414860725403
228.0,-0.6070594787597656,-0.394097238779068
229.0,-0.7835381031036377,-0.2626286745071411
230.0,-0.9276914596557616,-0.08437450230121613
231.0,-1.0079725980758667,0.10910831391811372
232.0,-1.1469604969024658,0.2995471954345703
233.0,-1.2617807388305664,0.5038576722145081
234.0,-1.3463162183761597,0.7076263427734375
235.0,-1.3984404802322388,0.8335012793540955
236.0,-1.4240117073059082,1.010080099105835
237.0,-1.433231234550476,1.1866275072097778
238.0,-1.4150463342666626,1.3558330535888672
239.0,-1.413766860961914,0.7081044316291809
240.0,-1.3650693893432615,-0.6169031858444214
241.0,-1.2877517938613892,-1.4965270757675169
242.0,-1.1819846630096436,-1.3490431308746338
243.0,-1.0748748779296875,-1.1505171060562134
244.0,-0.9343611598014832,-0.9418994188308716
245.0,-0.7679163813591003,-0.7822600603103638
246.0,-0.5885667204856873,-0.6000487208366394
247.0,-0.4172073006629944,-0.4425778090953827
248.0,-0.25015711784362793,-0.308538019657135
249.0,-0.06870163232088089,-0.1565200388431549
250.0,0.07293851673603058,0.009977035224437714
251.0,0.19874221086502075,0.20493119955062866
252.0,0.3859747052192688,0.3495358526706696
253.0,0.5944232344627379,0.5330063700675964
254.0,0.7880986332893372,0.7246303558349609
255.0,0.9122738242149352,0.8749629259109497
256.0,1.0533597469329834,0.9787254929542542
257.0,1.1835691928863523,1.162103533744812
258.0,1.2447638511657717,1.3950846195220947
259.0,1.324193000793457,1.1968501806259155
260.0,1.353619933128357,-0.26193690299987793
261.0,1.4037761688232422,-1.4508044719696045
262.0,1.4054992198944092,-1.3293894529342651
263.0,1.4013656377792358,-1.1783883571624756
264.0,1.373071551322937,-1.0022486448287964
265.0,1.3035967350006104,-0.8328970074653625
266.0,1.247121810913086,-0.637732744216919
267.0,1.1346276998519895,-0.4971526265144348
268.0,1.0399239063262942,-0.3392495810985565
269.0,0.9196277856826782,-0.1979326158761978
270.0,0.7491263151168823,-0.047763101756572716
271.0,0.6020435094833374,0.1380654275417328
272.0,0.4851250946521759,0.3215574324131012
273.0,0.3029853999614716,0.5218372344970703
