ID,time,mu,sigma,y_true
0,-3.0,40.171073846375336,0.0,40.171073846375336
1,-2.9986662220740246,40.1118954405372,0.002,40.11159586544815
2,-2.9973324441480496,40.04155036587236,0.004,40.038146528249364
3,-2.995998666222074,39.96008823009711,0.006,39.97013057216301
4,-2.9946648882960987,39.86756164732203,0.008,39.85694217728833
5,-2.9933311103701232,39.76402621518898,0.01,39.75240115106623
6,-2.9919973324441482,39.64954049122673,0.012,39.6441748010813
7,-2.990663554518173,39.524165968433934,0.014,39.51626853424311
8,-2.9893297765921973,39.387967050098474,0.016,39.36909489005391
9,-2.987995998666222,39.24101102386233,0.018000000000000002,39.21082265420896
10,-2.986662220740247,39.083368035040884,0.02,39.0990650480148
11,-2.9853284428142715,38.91511105920694,0.022,38.86461559915605
12,-2.983994664888296,38.736315874048536,0.024,38.74608800729268
13,-2.9826608869623206,38.54706103051081,0.026000000000000002,38.559726139540516
14,-2.9813271090363456,38.34742782323143,0.028,38.35895885892358
15,-2.97999333111037,38.137500260280575,0.03,38.112702433038606
16,-2.9786595531843947,37.917365032215265,0.032,37.94684177298455
17,-2.9773257752584197,37.687111480459265,0.034,37.67310240323526
18,-2.9759919973324442,37.44683156501757,0.036000000000000004,37.47671412808789
19,-2.974658219406469,37.196619831539635,0.038,37.21727356323189
20,-2.9733244414804934,36.936573377738405,0.04,36.9527640902796
21,-2.9719906635545184,36.666791819179515,0.042,36.61823753106358
22,-2.970656885628543,36.38737725445025,0.044,36.38228569786334
23,-2.9693231077025675,36.098434229720944,0.046,36.123031496480195
24,-2.967989329776592,35.80006970270867,0.048,35.72665536548154
25,-2.966655551850617,35.492393006057156,0.05,35.506772518526724
26,-2.9653217739246416,35.17551581014329,0.052000000000000005,35.148616776443255
27,-2.963987995998666,34.84955208532273,0.054,34.88526805749117
28,-2.9626542180726907,34.514618063627246,0.056,34.38045677773783
29,-2.9613204401467157,34.17083219992456,0.058,34.15547482058114
30,-2.9599866622207403,33.81831513255512,0.06,33.80022712229654
31,-2.958652884294765,33.457189643456765,0.062,33.50423246443553
32,-2.95731910636879,33.08758061779121,0.064,33.25844586620951
33,-2.9559853284428144,32.70961500308218,0.066,32.75230201454157
34,-2.954651550516839,32.32342176788367,0.068,32.388033788197355
35,-2.9533177725908635,31.929131859984032,0.07,31.847830741022452
36,-2.9519839946648885,31.526878164165755,0.07200000000000001,31.607335271962548
37,-2.950650216738913,31.116795459527737,0.074,31.180299170610066
38,-2.9493164388129376,30.699020376390376,0.076,30.695615842924767
39,-2.947982660886962,30.273691352788973,0.078,30.376052691688983
40,-2.946648882960987,29.84094859057518,0.08,29.973389737127732
41,-2.9453151050350117,29.40093401113627,0.082,29.50255785427794
42,-2.9439813271090363,28.953791210748047,0.084,29.020658975061462
43,-2.942647549183061,28.499665415572036,0.08600000000000001,28.24466446432155
44,-2.941313771257086,28.038703436314186,0.088,28.019304429334717
45,-2.9399799933311104,27.571053622556036,0.09,27.541175847529907
46,-2.938646215405135,27.096865816773263,0.092,27.16518763130209
47,-2.93731243747916,26.61629130805627,0.094,26.718523125472895
48,-2.9359786595531845,26.129482785542603,0.096,26.239833729711986
49,-2.934644881627209,25.636594291583005,0.098,25.48039743729322
50,-2.9333111037012336,25.137781174645166,0.1,25.27069875750479
51,-2.9319773257752586,24.633200041978483,0.10200000000000001,24.713384430248052
52,-2.930643547849283,24.12300871204515,0.10400000000000001,23.9555009279657
53,-2.9293097699233077,23.607366166741322,0.106,23.719263502925713
54,-2.9279759919973323,23.08643250341179,0.108,23.088572806160315
55,-2.9266422140713573,22.560368886682053,0.11,22.605275869966327
56,-2.925308436145382,22.029337500112867,0.112,22.096311602026173
57,-2.9239746582194064,21.49350149770139,0.114,21.520256795652447
58,-2.922640880293431,20.953024955232042,0.116,20.814624982623343
59,-2.921307102367456,20.408072821501385,0.11800000000000001,20.59150784707433
60,-2.9199733244414805,19.858810869421784,0.12,20.05158161068182
