ID,sine_signal,sawtooth_signal
0,-0.5864231245390371,-1.3306055625440683
1,1.3894524379949975,-0.7790063404058203
2,2.5216738417706424,-0.6038074246205327
3,3.4601067356249477,-0.7581807150052353
4,4.911618335068387,-0.6584851174992841
5,6.202980469759165,-0.6584700813675756
6,7.5744431894817605,-0.18516246333746447
7,7.735656555078805,-0.18137272670700252
8,7.778624412196907,-0.12282895901937044
9,9.241065827093843,-0.16181630111178416
10,10.284949143999238,0.038219096853467756
11,9.247449320219244,0.10623071360580393
12,9.898679253233407,0.3315033989045437
13,9.694293326330047,0.401008055126385
14,9.460390477738954,0.394835096754845
15,9.31807173304488,0.26014420470669364
16,8.23795497372671,0.7856756564436501
17,8.608607947651398,0.5715433705292129
18,7.18362257932918,0.8849590632576246
19,6.5657855390672175,0.9262351656931831
20,6.266077545187776,-1.1539063610516345
21,4.510081969282349,-0.9303249857319216
22,2.544371880505134,-0.7048844522602093
23,2.0888065139106478,-0.8288352852850708
24,0.3680876687922218,-0.6568639943690866
25,-1.254244200874327,-0.528830344275752
26,-1.7596797604461865,-0.35743486056380147
27,-2.9806258050437053,-0.0761653717367756
28,-4.285137657316792,-0.19333800466577739
29,-5.372779151390309,-0.1431660998032813
30,-5.968028055010913,0.09690690687940662
31,-6.956738389877932,-0.14208693322744842
32,-8.51050501763722,0.146029549039071
33,-8.31304028969848,0.21092494005573753
34,-9.492851192648903,0.46656635267558877
35,-9.887354248987869,0.426763158868379
36,-9.763422022754284,0.6629733211937605
37,-9.622958764770225,0.725424268456242
38,-10.369874479688487,0.9937746149490626
39,-9.930043662487652,0.9187751745229179
40,-9.487044749415032,-0.9915116413777781
41,-8.370358587601691,-1.0149744398956269
42,-7.998457502520785,-0.6634613148224872
43,-6.52263294847712,-0.6561194382003783
44,-5.736673635614203,-0.5032859092680431
45,-5.330897208788804,-0.4386948233801235
46,-4.101028952428098,-0.4562594558703543
47,-2.2839363085130917,-0.23855319514908652
48,-1.627235554677417,-0.34770153092830614
49,0.029833073092074176,-0.040651745312477915
50,0.6121850819331144,-0.17938952115248394
51,0.8041140261343582,0.05914550202566363
52,3.1320938867742236,0.2581326839293947
53,3.5206574766079,0.24425113002536014
54,5.478399125100422,0.36593018333755567
55,5.638902460670219,0.439191224481401
56,6.960639022120199,0.5755464479809844
57,7.929912080477803,0.6775103465311582
58,7.969318406950081,0.7975170308008133
59,9.255078323123223,0.8995514965107592
60,9.78963824293905,-1.0597966491157975
61,9.534150528543393,-0.9828702917057621
62,9.44904922853572,-0.8883711224710338
63,9.655570311135996,-0.4780468153496137
64,9.727329658125534,-0.5655222310047933
65,10.137157639908068,-0.6314992876793473
66,8.88759309628819,-0.37298626577887994
67,8.390189640484307,-0.29778544394978684
68,7.2863434562985665,-0.05434498231465379
69,7.031752508573178,-0.24510629978270307
70,5.324543016559615,0.02098580220136104
71,4.049328437225733,0.03241510961964411
72,3.3745914322414867,0.3051746144126327
73,2.1056501068097564,0.4008953959261872
74,0.7618395153951825,0.4213446352573266
75,-1.2878957210736524,0.6226525979336541
76,-2.211022207323368,0.43200489890375515
77,-4.1079371789867904,0.7580893516863689
78,-3.9111841848179836,0.8752065835225488
79,-5.6406310264892365,0.7491415519526545
80,-6.711082389961425,-0.9534811523942722
81,-7.796489964500262,-0.8495632313659284
82,-8.807504057118264,-0.9761039481374659
83,-9.377348078134254,-0.6638700120037655
84,-9.943340397882949,-0.7118859015237347
85,-10.193504568308015,-0.34007053491473016
86,-9.845718872709353,-0.46213553163607335
87,-9.53895209446897,-0.3703737834633243
88,-9.097817860185467,-0.11580986082343474
89,-8.985506331456076,-0.234925570239209
90,-8.81308289282569,0.09786554477418696
91,-8.65952494546944,0.017666500468650315
92,-8.541604470387623,0.11259187111842861
93,-7.217862019845883,0.33964455221691237
94,-5.915943704621055,0.39485617630025127
95,-4.076627884027742,0.5340426144562426
96,-3.965243423728532,0.7134191344974237
97,-2.9828050309387644,0.6977627470157604
98,-1.5612241938780056,0.6338926851953027
99,-0.2482747119203773,1.0770297109626308
100,0.7113378190148131,-1.1784610898477546
101,1.453500092616448,-0.7126791204787166
102,1.7043028098165038,-0.8663591395246952
103,3.5223045682751426,-0.7412944412489217
104,4.716444347955569,-0.48630822287521636
105,5.877806601389647,-0.4622694744888381
106,6.874312580905456,-0.300154574081785
107,7.800379292358105,-0.1967706976973112
108,9.005685221498897,-0.20115218876938185
109,9.889075068378668,-0.259670820034439
110,9.411541916116038,-0.060749436476945896
111,10.372265650424328,-0.11316060132737965
112,10.318961148167492,0.3580399787947316
113,9.619593069259498,0.2853487123234635
114,9.776351175548335,0.3809934727116595
115,8.922300261165192,0.6271594601755716
116,8.873080864988726,0.5707561439301674
117,8.633773493942087,0.7456241612717813
118,7.355632836735819,0.8843027409760016
119,6.8824855954178865,0.9748459854015724
120,5.767142110521555,-1.0841133408347763
121,4.785685982546312,-0.835768858128365
122,3.2128098251666346,-0.8043878338791743
123,1.0442225873599433,-0.8962936998373902
124,0.8781343637705776,-0.5841318486119018
125,-0.22927201087145677,-0.5444863339776529
126,-1.631777430103584,-0.16196148296308577
127,-3.5351196525369017,-0.3139515667138619
128,-3.9480783666881267,-0.27348439834183336
129,-5.71116841797705,-0.10479041313216858
130,-5.878017043629282,0.01381125382904151
131,-6.192973620302356,0.09878460498257806
132,-8.602808247366884,0.1719554683233249
133,-8.886632572104219,0.3340499128446116
134,-9.952498302189909,0.4168914628745299
135,-9.643670155142265,0.5049054496119592
136,-10.117894452564482,0.5018573196207601
137,-10.212083072873256,0.46207802975302886
138,-9.991397236621406,0.7523189536289884
139,-9.683487641512803,0.9862089248763243
140,-9.705794972998598,-1.058876553365939
141,-8.92300397882642,-0.9751093080491329
142,-7.349720954096698,-0.73158587971667
143,-6.482758704713446,-0.6495342718583179
144,-6.304799460818187,-0.5395843941261436
145,-4.556778019500024,-0.3724401185459604
146,-3.9901551400129542,-0.3955105590105592
147,-3.4361198159106867,-0.1038574169819719
148,-1.5507581701387136,-0.171716668079749
149,-0.45336732864929735,-0.2889224896751044
150,-0.1491690623403778,-0.07225934435646907
151,2.0193372658195288,0.07482454897895782
