timestamp;cut_torque_target;cut_lag error_target;cut_position_target;cut_speed_target;film_position_target;film_speed_target;film_lag_error_target;cut_torque_predicted;cut_lag error_predicted;cut_position_predicted;cut_speed_predicted;film_position_predicted;film_speed_predicted;film_lag_error_predicted;prediction_loss;cut_torque_residuas;cut_lag_error_residual;cut_position_residual;cut_speed_residual;film_position_residual;film_speed_residual;film_lag_error_residual
0.0;;;;;;;;;;;;;;;;0.03807216882705691;1.801386445760727;-0.3064899444580078;-0.20915794372558594;-0.3375203609466553;-1.0298421382904053;-2.233011007308959
1.0;;;;;;;;;;;;;;;;0.1576530858874321;1.6063561290502548;-0.3052654266357422;-0.2073309421539306;-0.3347206115722656;-1.030383825302124;-2.2432081699371347
2.0;;;;;;;;;;;;;;;;0.09990647435188293;1.7514551170170307;-0.30514776706695557;-0.19953680038452148;-0.33402538299560547;-1.026733636856079;-2.2240588665008554
3.0;;;;;;;;;;;;;;;;0.07231530547142032;1.7888687327504158;-0.3059260845184325;-0.20793485641479487;-0.33500683307647705;-1.026657581329346;-2.2143759727478014
4.0;;;;;;;;;;;;;;;;0.04200069606304166;1.821544975042343;-0.3064447045326233;-0.20899498462677002;-0.335771083831787;-1.0187723636627197;-2.243750095367432
5.0;;;;;;;;;;;;;;;;0.10714007914066315;1.735112238675356;-0.3057878017425537;-0.20494455099105835;-0.3352007865905763;-1.0270204544067383;-2.236892223358155
6.0;;;;;;;;;;;;;;;;0.07830473780632016;1.7358327396214006;-0.30529534816741943;-0.21901786327362066;-0.3348085880279542;-1.0397229194641113;-2.2119653224945073
7.0;;;;;;;;;;;;;;;;0.10146166384220123;1.6245736926794052;-0.3052471876144409;-0.21132224798202515;-0.33392786979675304;-1.0258972644805908;-2.231363773345948
8.0;;;;;;;;;;;;;;;;0.0770896375179291;1.794867821037769;-0.30536895990371704;-0.20547914505004883;-0.33428049087524425;-1.0271499156951904;-2.23293423652649
9.0;;;;;;;;;;;;;;;;0.09129509329795837;1.7483492381870747;-0.305580735206604;-0.21119922399520874;-0.33488214015960704;-1.0192246437072754;-2.238705873489381
10.0;;;;;;;;;;;;;;;;0.07239460945129389;1.7437730319797993;-0.3055248260498047;-0.20676541328430176;-0.3351094722747803;-1.0193958282470703;-2.2289447784423833
11.0;;;;;;;;;;;;;;;;0.06202781200408944;1.745871592313051;-0.3052441477775574;-0.20929443836212158;-0.3347954750061034;-1.03216290473938;-2.2068800926208496
12.0;;;;;;;;;;;;;;;;0.11087456345558167;1.5812081918120384;-0.30515724420547485;-0.20464009046554565;-0.3348035812377931;-1.0201604366302488;-2.233682394027711
13.0;;;;;;;;;;;;;;;;0.15227506309747693;1.593393288552761;-0.3052237033843994;-0.20239531993865972;-0.3349969387054442;-1.0303068161010742;-2.232401132583619
14.0;;;;;;;;;;;;;;;;0.08470579981803894;1.7541046626865864;-0.30614036321640015;-0.21191072463989258;-0.33716142177581787;-1.03348183631897;-2.21674919128418
15.0;;;;;;;;;;;;;;;;0.0075826942920684814;1.8212591111660004;-0.30703067779541016;-0.20980119705200195;-0.33849072456359863;-1.0291390419006348;-2.239084243774415
16.0;;;;;;;;;;;;;;;;0.0693141520023346;1.691640641540289;-0.3063587546348572;-0.21553558111190796;-0.3373185396194458;-1.031203269958496;-2.248743295669556
