timestamp;cut_torque_residuas;cut_lag_error_residual;cut_position_residual;cut_speed_residual;film_position_residual;film_speed_residual;film_lag_error_residual
0.0;-0.0941886305809021;0.8056343104690313;-0.0707132816314695;-0.007527172565460205;-0.007226228713989258;-0.2885334491729745;-0.16327869892120384
1.0;-0.14073622226715088;0.8306204006075859;-0.07139849662780762;-9.137392044067383e-05;0.0056139230728153855;-0.24474334716796875;-0.033942580223083496
2.0;-0.1480954885482788;0.7242578566074371;-0.07302641868591309;0.005847930908203125;0.020031094551086648;-0.1942133903503418;-0.07346212863922119
3.0;0.029568910598754883;0.15367707610130305;-0.07535243034362793;0.000901341438293457;0.03388333320617676;-0.15579056739807084;-0.11599224805831909
4.0;0.17525875568389893;-0.2151216864585876;-0.07882380485534668;-0.007241487503051758;0.04217851161956809;-0.12764286994934126;-0.14336919784545898
5.0;0.13439196348190302;-0.08144983649253845;-0.08243083953857422;-0.007754504680633545;0.043308377265930176;-0.10498189926147461;-0.16156786680221558
6.0;0.033837735652923584;0.24624262750148768;-0.08472788333892822;-0.004941999912261963;0.040492892265319824;-0.10867142677307173;-0.08544987440109253
7.0;-0.04203516244888306;0.2641461119055748;-0.0839562416076658;-0.006330907344818115;0.03939616680145264;-0.10135769844055131;-0.11407575011253357
8.0;-0.03350389003753662;0.16358336806297302;-0.08108353614807129;-0.008865714073181152;0.040450811386108176;-0.10010766983032227;-0.19106456637382507
9.0;0.013817250728607178;-0.033941179513931274;-0.07784783840179443;-0.015856623649597168;0.04126560688018821;-0.09500598907470703;-0.1700499057769776
10.0;0.02613836526870733;-0.0023665428161621094;-0.07393825054168701;-0.018038630485534668;0.040836095809936745;-0.10156106948852495;0.034002006053924505
11.0;-0.049684345722198486;0.2022785097360611;-0.07008123397827148;-0.010309994220733643;0.041197299957275835;-0.09984040260314986;0.060103744268417414
12.0;-0.10712710022926336;0.4718216061592102;-0.06671369075775146;-0.015134990215301514;0.042275190353393555;-0.08052301406860352;0.047866761684417725
13.0;-0.01630485057830805;0.14052265882492068;-0.06407833099365234;-0.015841960906982422;0.04566943645477317;-0.07791471481323242;0.12844952940940857
14.0;0.0653124749660492;-0.09838280081748965;-0.06201779842376709;-0.023353159427642822;0.04859006404876731;-0.070043563842773;0.1620443258434534
15.0;0.06773766875267029;-0.049741476774215726;-0.06182301044464111;-0.0441361665725708;0.04930698871612571;-0.06462955474853516;0.19330268353223798
16.0;0.05982211232185364;0.11563212610781193;-0.061574578285217285;-0.04865521192550659;0.048212289810180886;-0.038516044616698775;0.19526699185371396
17.0;-0.0015270709991455078;0.13189901411533356;-0.06148326396942139;-0.0652884840965271;0.04649901390075706;-0.043403387069701704;0.11389461159706121
18.0;-0.02746868133544922;0.018994989339262247;-0.06034040451049805;-0.08701145648956299;0.04518580436706565;-0.025846242904662642;-0.051453471183776855
19.0;0.08792150020599365;-0.265451043844223;-0.058540105819701926;-0.09551817178726191;0.04443192481994651;-0.03600430488586426;-0.11102378368377686
20.0;0.12110793590545649;-0.19352930784225464;-0.05623579025268555;-0.10878020524978643;0.04319965839385986;-0.04382586479187012;-0.13712233304977417
21.0;0.055965572595596313;-0.020645111799240112;-0.053751587867736816;-0.1121098399162293;0.04102718830108665;-0.046949863433837;-0.13165143132209772
22.0;-0.0719275176525116;0.11718983948230743;-0.04972612857818581;-0.10369902849197382;0.03963732719421387;-0.04718446731567427;-0.12282863259315491
23.0;-0.04126405715942377;0.07335031032562256;-0.04437077045440696;-0.09440052509307861;0.04088878631591819;-0.056736707687378374;-0.05192765593528753
