timestamp;cut_torque_residuas;cut_lag_error_residual;cut_position_residual;cut_speed_residual;film_position_residual;film_speed_residual;film_lag_error_residual;sine_wave_residual
0.0;-0.5127414166927338;-0.0481217503547669;-0.434004545211792;-0.37782153487205505;-0.30020999908447243;-1.0923898220062256;-0.05477130413055398;0.26512861251831055
1.0;-0.35797908902168274;-0.393013060092926;-0.43560880422592163;-0.37798699736595154;-0.293748140335083;-1.0594054460525513;-0.04083609580993652;-0.026402711868286244
2.0;-0.3798551559448242;-0.20007413625717158;-0.4383125901222229;-0.3748674690723419;-0.2930485010147095;-1.029335379600525;-0.04747200012207031;0.09470212459564209
3.0;-0.472243532538414;0.19178789854049683;-0.438091516494751;-0.3688245415687562;-0.29502224922180176;-1.0254367589950566;0.04130589962005615;-0.04651176929473877
4.0;-0.5449897646903992;0.24404197186231613;-0.4366874694824219;-0.3662441372871399;-0.2973799705505371;-1.014278531074524;0.001863241195678711;-0.06594502925872803
5.0;-0.5306693539023399;0.15736758708953857;-0.4353466033935547;-0.3656265139579773;-0.2998483180999756;-1.010442972183228;-0.10204625129699707;-0.241685152053833
6.0;-0.4517710357904434;-0.04558265209197998;-0.436257541179657;-0.3722464442253113;-0.30259013175964355;-1.0016494989395142;-0.08015739917755127;-0.13377177715301514
7.0;-0.4019956886768341;-0.006942808628082275;-0.4368782639503479;-0.3738753795623778;-0.30666661262512207;-1.0051797628402708;0.162226140499115;-0.03110027313232444
8.0;-0.4621086120605469;0.23379972577095032;-0.4391375780105591;-0.3592613637447357;-0.31065380573272705;-0.9990421533584595;0.17548704147338867;-0.23040080070495583
9.0;-0.5144117623567581;0.5555146336555481;-0.4417526125907898;-0.36017781496047974;-0.3157721757888796;-0.9797197580337529;0.19429588317871094;-0.12095606327056863
10.0;-0.41960133612155914;0.22034744173288345;-0.4457170367240906;-0.35592785477638245;-0.3201944828033447;-0.9781469106674197;0.36736252903938293;-0.4548711776733396
11.0;-0.32623058557510376;-0.013036221265792847;-0.4505698084831238;-0.3621827960014343;-0.3250952959060669;-0.971269965171814;0.49764707684516907;-0.5086033344268799
12.0;-0.30064570903778076;0.06996846199035647;-0.4570199251174927;-0.37947240471839905;-0.32816243171691895;-0.9586434364318843;0.6256410926580429;-0.25229156017303467
13.0;-0.28035587072372437;0.28292922489345074;-0.46339184045791626;-0.3752484619617462;-0.33262157440185547;-0.9222389459609985;0.7012382149696351;-0.3647811412811277
14.0;-0.31737720966339117;0.3282235562801361;-0.4684617519378662;-0.3847002685070038;-0.3374803066253662;-0.9183477163314819;0.6775231957435608;-0.7147293686866762
15.0;-0.31631869077682495;0.2155731720849872;-0.4675543904304508;-0.4061692059040069;-0.33631837368011475;-0.8862427473068237;0.539260096848011;-0.5092571377754211
16.0;-0.15462273359298706;-0.10403229296207428;-0.46552348136901855;-0.41831234097480774;-0.3353325128555298;-0.8838874101638794;0.495150700211525;-0.5591744780540464
17.0;-0.07268556952476501;-0.04450340569019315;-0.46154874563217185;-0.4337237477302551;-0.33201920986175537;-0.8761571645736694;0.4482860490679741;-0.720032811164856
18.0;-0.1009560227394104;0.12254625558853152;-0.4541214108467104;-0.43536379933357244;-0.3239084482192993;-0.8574457168579102;0.4304715618491173;-0.7456813156604766
19.0;-0.20993202924728394;0.25143199786543846;-0.4461151957511902;-0.42338278889656067;-0.31565403938293457;-0.8365523815155029;0.41887617111206055;-0.7210112027823925
20.0;-0.17344316840171814;0.18047616444528106;-0.44046342372894287;-0.4125770628452301;-0.31043016910552956;-0.8322620391845703;0.5002248287200928;-0.5613880455493927
21.0;-0.16046354174613947;0.08108229190111159;-0.43529975414276123;-0.40395203232765203;-0.3047360181808474;-0.7956104278564455;0.6290476620197296;-0.7396205961704254
22.0;-0.13102996349334717;-0.2103127837181092;-0.4358282685279846;-0.38769993185997004;-0.3058220148086548;-0.7785073518753052;0.7348050177097321;-0.41509199887514114
23.0;-0.15758240222930908;0.13770129159092903;-0.4376022219657898;-0.3784789443016053;-0.31045639514923073;-0.7698655128479004;0.742473840713501;-0.38679686188697815
24.0;-0.3002299666404724;0.46406830847263336;-0.4381406903266909;-0.3773446083068848;-0.31595015525817893;-0.7656372785568237;0.6651839017868042;-0.49763262271881104
25.0;-0.28116911649703985;0.30649060010910034;-0.43790942430496216;-0.37612006068229675;-0.3224285840988159;-0.7701946496963497;0.7666781544685364;-0.3145083785057068
26.0;-0.138337641954422;0.09214585646986963;-0.4371718168258665;-0.3871670812368393;-0.3294771909713745;-0.7775468826293948;0.9744550362229347;-0.40484344959259055
27.0;-0.14189046621322632;0.08858549036085604;-0.4393327832221985;-0.3954330682754517;-0.3413604497909546;-0.7809163331985478;1.114918403327465;-0.33800846338272095
28.0;-0.10381594300270092;0.09524485841393471;-0.442818224430084;-0.3876585513353348;-0.3583728075027466;-0.7918888330459595;1.2042083144187927;-0.41906481981277466
29.0;-0.11929422616958613;0.15492773056030273;-0.4455849528312683;-0.3925776779651642;-0.38083231449127186;-0.8222144842147823;1.240886569023132;-0.3775634765625
30.0;-0.13029718399047852;0.15521784126758575;-0.44570165872573875;-0.3954502493143081;-0.40605103969573986;-0.8694419860839844;1.2111214399337769;-0.15884339809417725
31.0;-0.07772403955459589;0.10933470726013184;-0.4438742399215698;-0.4055822491645813;-0.428899884223938;-0.9158145189285274;1.1595338582992556;-0.02849137783050537
32.0;-0.07681304216384888;0.043404728174209595;-0.4436112046241758;-0.4146040976047516;-0.44624793529510487;-0.9462405443191524;1.244156956672668;-0.16550517082214355
33.0;-0.07120990753173828;0.10152134299278262;-0.44658368825912476;-0.4155016839504242;-0.46375793218612693;-0.9734686613082884;1.3949332237243652;-0.33863627910614014
34.0;-0.10429131984710693;0.35130493342876434;-0.45529794692993164;-0.4279312938451767;-0.4845889210700989;-0.9798157215118405;1.5250405073165894;-0.02728879451751709
35.0;-0.11570340394973755;0.2735336124897003;-0.4635623097419739;-0.4278190732002259;-0.5030158758163452;-0.9966631531715393;1.5638133287429814;-0.151098251342773
36.0;-0.05924731492996216;0.13832418620586395;-0.4724987745285032;-0.42893065512180334;-0.52115797996521;-1.0039530992507935;1.496336817741394;0.057415246963500755
37.0;0.00344693660736084;-0.17272694408893585;-0.4778256416320801;-0.4267008006572723;-0.5335913300514221;-1.0087535381317139;1.2694356441497803;-0.2657407522201538
38.0;0.005094170570373535;-0.07593663968145847;-0.48194944858551025;-0.4280146360397339;-0.5420586466789246;-0.9949530959129336;1.092612862586975;0.26152467727661133
39.0;-0.06764101982116699;0.12622575461864471;-0.4782945513725281;-0.4269096851348877;-0.5379006862640381;-0.980873227119446;0.9204452037811279;0.27505409717559814
40.0;-0.029418110847473145;0.1586564779281616;-0.4664936661720276;-0.42977233231067663;-0.5228379368782043;-0.9529153108596802;0.6069718599319454;0.20551538467407238
41.0;0.027803242206573486;-0.19067959487438202;-0.44960469007492065;-0.4237753078341484;-0.49786245822906494;-0.9176924228668213;0.5696991682052615;0.3507707118988037
42.0;0.03639364242553711;-0.15276335179805756;-0.43009012937545776;-0.42692553997039795;-0.46891874074935913;-0.8657742738723754;0.6766586303710935;0.5843102037906647
43.0;-0.020581364631652832;-0.02721196785569191;-0.413211405277252;-0.4227652028203011;-0.4416643977165222;-0.8178929090499878;0.9653968811035156;0.5039733536541462
44.0;-0.036107778549194336;0.04766511172056198;-0.4039004445075989;-0.39689135551452637;-0.4263361692428588;-0.7683609724044801;1.1840450763702393;0.5605932027101517
45.0;0.06431448459625244;-0.37667419016361237;-0.40254682302474976;-0.37923818826675415;-0.4247819185256958;-0.7489525079727173;1.3152987957000732;0.14193851593881843
46.0;0.1299399435520172;-0.3893808424472809;-0.4111071228981018;-0.3707012832164765;-0.4382672905921937;-0.7260738611221313;1.3118659257888794;0.3327839300036431
47.0;0.037338852882385254;-0.16646167635917664;-0.42250746488571167;-0.37350976467132574;-0.45737051963806175;-0.7370229959487917;1.3179124593734741;0.19209789484739304
48.0;0.11924299597740173;-0.433719739317894;-0.43228113651275635;-0.3614244759082794;-0.4761919975280763;-0.746033787727356;1.4406700134277344;0.4290734827518463
49.0;0.11010867357254023;-0.194279208779335;-0.44052809476852417;-0.35263511538505554;-0.49394667148590066;-0.7483763098716736;1.2182561159133918;0.42587536573410034
50.0;0.10588178038597101;-0.08338137716054916;-0.44341796636581443;-0.3548969030380249;-0.5038589239120483;-0.7383701801300049;0.7218060493469234;0.6644770205020905
51.0;0.1020218133926391;0.04513246566057206;-0.4408233165740967;-0.35336126387119293;-0.5022481679916382;-0.7286931872367861;0.24414026737213135;0.34906280040740967
52.0;0.19033083319663996;-0.3380021452903748;-0.4276793003082273;-0.36133973300457;-0.4851943254470825;-0.7030446529388428;0.2696528434753418;0.4440564513206482
53.0;0.15380510687828058;-0.06620594859123227;-0.40978187322616577;-0.3667284920811653;-0.4637744426727295;-0.6969513893127445;0.6285480260848999;0.37311387062072765
54.0;0.0458756685256958;0.035646092146635056;-0.3937845826148989;-0.3531731218099594;-0.446625351905823;-0.6430404186248779;0.7279855012893677;0.34128642082214355
55.0;0.02163425087928783;0.23555535078048706;-0.3871597647666931;-0.3383773863315582;-0.4405454397201537;-0.6268094778060911;0.798248291015625;0.11063909530639648
56.0;0.021517902612686213;0.16033322364091873;-0.3863956332206726;-0.3298490345478058;-0.44228219985961914;-0.6121162176132203;0.9531440734863281;0.0034731626510620117
57.0;0.1391101479530335;-0.21181735396385193;-0.39202213287353516;-0.3270725607872009;-0.4527451992034912;-0.6219254732131958;1.1311146020889287;0.17622661590576172
