time;value
0;-0.19038933805772054
1;0.89040344181502
2;2.7311751760926346
3;3.6656957323650077
4;5.024504091514578
5;6.232943480391102
6;6.753797697339509
7;8.065334291579477
8;8.249884707704943
9;8.816063095613892
10;9.47677434957944
11;9.590337048948951
12;10.492288351140902
13;9.935944684936583
14;9.361687462193547
15;9.7694669312229
16;8.99080122483456
17;8.055959450196735
18;7.599308028035677
19;6.152801394092681
20;4.974649120102655
21;4.654571674636775
22;2.6566986742806185
23;1.5141099316155313
24;1.4878177383097508
25;-1.1011568045387663
26;-1.5024153466452248
27;-2.759685159952222
28;-4.055714590554671
29;-5.707852593523314
30;-5.872469416971273
31;-7.477137150930009
32;-8.694349394401913
33;-8.838952966136597
34;-10.081980074718821
35;-8.984806220489675
36;-10.012348738648758
37;-10.198665011028371
38;-10.465634167728028
39;-8.839647421392497
40;-9.247079297383607
41;-8.957974620261323
42;-7.486812891022384
43;-6.199874564301607
44;-5.7814667860806805
45;-5.291026546798761
46;-4.288555663376404
47;-2.557486316891623
48;-1.2972484786426568
49;-0.057303498484226556
50;-0.02186979352932956
51;1.3509030965497506
52;2.8584190398678113
53;3.092006116762538
54;5.7612564977175555
55;5.749249821435489
56;6.532535005232862
57;7.467461444813109
58;8.114649693208241
59;9.022414171808538
60;9.495489441873612
61;9.90701924948685
62;10.698062963423485
63;10.037277250652577
64;9.462059906938373
65;9.370950996160989
66;9.265513483707137
67;7.824269391464843
68;6.960492429092767
69;6.200880841559988
70;5.58526677505918
71;3.784564249658091
72;3.0073585865765864
73;1.7407988807924721
74;-0.12827081170395982
75;-0.6899569254642429
76;-1.2042873643017726
77;-3.786421637473641
78;-4.584063197150839
79;-5.095574403647791
80;-6.153070578183296
81;-7.546681500712908
82;-8.800443826543798
83;-9.15144109227464
84;-9.276344795186969
85;-9.746679875192925
86;-9.362172561010357
87;-10.019599067739906
88;-9.668153265961053
89;-9.470938682973149
90;-8.955527390266727
91;-8.569299554486896
92;-8.349515303738878
93;-6.267878907599549
94;-5.802102652846746
95;-4.885413902350508
96;-3.5712632344204778
97;-2.9429922290202883
98;-1.1492940362606885
99;0.5495008779582445
100;0.3031117529831492
101;1.4802425689238603
102;2.677785028510806
103;4.12852437671791
104;4.986109776389522
105;5.992439379210809
106;6.9548588967814196
107;7.160526695428112
108;8.320538941539066
109;8.531041262048648
110;9.100168258907928
111;10.339874087478059
112;10.000716926406875
113;9.618562370591958
114;9.236861459673655
115;9.963405540690893
116;8.518804754311054
117;7.840034170339868
118;7.326639453325661
119;6.318284234057146
120;6.431122751358451
121;4.633579692145825
122;2.548196511304409
123;1.1651669898289851
124;0.9802044827392582
125;-1.2549684389033016
126;-1.765902338672129
127;-2.667984893674249
128;-4.350679903658758
129;-5.825257583465254
130;-6.043301673549966
131;-7.994010547945791
132;-8.233345771000078
133;-8.93990289162387
134;-9.179852505953574
135;-9.745078188440496
136;-10.225305807212687
137;-9.57129593254798
138;-9.429674377621227
139;-9.403257380540424
140;-9.156823362412732
141;-8.822501872983723
142;-7.8493987165385235
143;-7.439194968531723
144;-5.290507674231744
145;-4.730913026210345
146;-4.034429804674486
147;-2.3012822015870524
148;-1.0755625159262074
149;0.1791391887430862
150;0.005298069565497829
151;1.8300788158157457
152;2.53927329916978
153;4.493865037600278
154;5.042790717873959
155;6.292434723425975
156;7.206564461388153
157;7.267713951062934
158;8.285226564034712
159;9.800575792995692
160;8.94232437983456
161;9.892600893638031
162;10.169267518046452
163;10.392574667934195
164;9.155818216831651
165;10.141574433896523
166;8.584567997185504
167;8.418564140736294
168;7.02388628224813
169;6.686232514058504
170;5.537589933689571
171;4.478680193423407
172;3.5146767297903363
173;2.2229861037216088
174;0.7743238369317007
175;-0.5226415764255005
176;-1.9157850208127172
177;-3.127517180913331
178;-3.7753204473268047
179;-5.633895552406477
180;-6.29627871812053
181;-7.170365826553467
182;-7.907690353623132
183;-8.443476591170084
184;-8.534460391155386
185;-9.365931201348243
186;-10.0358464027472
187;-9.511745499643222
188;-9.959192572399692
189;-9.232470060331385
190;-8.922194388881522
191;-8.73946525768409
192;-7.79185940461318
193;-6.709051746761562
194;-5.790614156891185
195;-5.132913935741584
196;-4.215933514732735
197;-2.7205102203080194
198;-2.4242997988162434
199;-0.3651593075749462
200;0.2608363105142631
201;1.2091980828748934
202;2.861040442277643
203;3.744630622632699
204;5.325434052388642
205;6.248518118365888
206;6.604160460777029
207;8.055462124350646
208;9.002289138655176
209;9.220796615991059
210;9.603697951124957
211;9.681660076412836
212;10.058728114737386
213;9.592256362850307
214;9.524855344324157
215;9.208057194181388
216;9.02299053519005
217;7.888238471627595
218;7.014638757129743
219;6.567951526111147
220;5.501034678761718
221;3.9464422835174418
222;3.36877719705577
