,cut torque,cut lag error,cut position,cut speed,film position,film speed,film lag error
0,-0.09399494400218869,-0.05719355185674099,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.478080541480025,-4.481516188004707
1,-0.031728136374655054,-0.09314791180823127,-1.1326206398886605,-0.6542484446285528,-1.3966071180196664,-2.487146014368002,-4.493178909726066
2,-0.10207149292928192,0.050669527997729794,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.4690147993127076,-4.504840944566059
3,-0.09314701051072867,0.08662388794922006,-1.1326206398886605,-0.6777157243521466,-1.3966071180196664,-2.487146014368002,-4.493178909726066
4,-0.14455603329592984,0.12257824790071033,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.4826132779240138,-4.481516188004707
5,-0.1438749667130528,0.12257824790071033,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.4826132779240138,-4.481516188004707
6,-0.04274290896046408,-0.05719355185674099,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.487146014368002,-4.493178909726066
7,-0.09881529488222518,0.050669527997729794,-1.1326206398886605,-0.6620708712046031,-1.3966071180196664,-2.4826132779240138,-4.493178909726066
8,-0.12042042242527226,0.08662388794922006,-1.1326206398886605,-0.6698932977768558,-1.3966071180196664,-2.4826132779240138,-4.481516188004707
9,-0.1496401533218038,0.12257824790071033,-1.1326206398886605,-0.6698932977768558,-1.3966071180196664,-2.473547535756696,-4.504840944566059
10,-0.09028637359041619,0.050669527997729794,-1.1326206398886605,-0.6646783467286873,-1.3966071180196664,-2.4826132779240138,-4.493178909726066
11,-0.11705680422516311,0.050669527997729794,-1.1326206398886605,-0.6777157243521466,-1.3966071180196664,-2.4962117565353195,-4.469854164806772
12,-0.1017776327214576,-0.05719355185674099,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.4826132779240138,-4.493178909726066
13,-0.12124967916857252,0.08662388794922006,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.4826132779240138,-4.504840944566059
14,-0.10689664517481025,0.050669527997729794,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.473547535756696,-4.504840944566059
15,-0.12154136279315825,0.050669527997729794,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.473547535756696,-4.493178909726066
16,-0.1347483626418692,0.050669527997729794,-1.1326206398886605,-0.6698932977768558,-1.3966071180196664,-2.487146014368002,-4.469854164806772
17,-0.0919012561106664,-0.09314791180823127,-1.1326206398886605,-0.6646783467286873,-1.3966071180196664,-2.473547535756696,-4.493178909726066
18,-0.05023913409756297,-0.09314791180823127,-1.1326206398886605,-0.6620708712046031,-1.3966071180196664,-2.4826132779240138,-4.504840944566059
19,-0.10302286645919152,0.050669527997729794,-1.1326206398886605,-0.6698932977768558,-1.3966071180196664,-2.4826132779240138,-4.493178909726066
20,-0.17241075396476924,0.12257824790071033,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.478080541480025,-4.504840944566059
21,-0.12049237044433604,0.014715168046239525,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.4826132779240138,-4.504840944566059
22,-0.08134393368918776,-0.02123919190525074,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.473547535756696,-4.504840944566059
23,-0.06569965175346716,0.014715168046239525,-1.1326206398886605,-0.6620708712046031,-1.3966071180196664,-2.4826132779240138,-4.493178909726066
24,-0.13839172680658213,0.050669527997729794,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.4916790200913312,-4.481516188004707
25,-0.11500082946270254,0.014715168046239525,-1.1326206398886605,-0.6646783467286873,-1.3966071180196664,-2.473547535756696,-4.504840944566059
26,-0.059118407459822164,0.050669527997729794,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.4826132779240138,-4.493178909726066
27,-0.1384956660367486,0.050669527997729794,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.4916790200913312,-4.481516188004707
28,-0.11709525809032079,0.014715168046239525,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.4826132779240138,-4.481516188004707
29,-0.13463814594167173,0.08662388794922006,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.487146014368002,-4.469854164806772
30,-0.13341802476788814,0.050669527997729794,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.487146014368002,-4.493178909726066
31,-0.09347912598055451,0.050669527997729794,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.478080541480025,-4.481516188004707
32,-0.11050673525938463,0.014715168046239525,-1.1326206398886605,-0.67250077330094,-1.3966071180196664,-2.473547535756696,-4.504840944566059
33,-0.09250309613718843,0.03276726542914832,-1.1326206398886605,-0.6646783467286873,-1.3966071180196664,-2.4826132779240138,-4.504840944566059
34,-0.11754339000926961,0.027124438671858934,-1.1326206398886605,-0.6698932977768558,-1.3966071180196664,-2.4826132779240138,-4.480229309942353
35,-0.1490711848014551,0.11785924977496973,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.4826132779240138,-4.46600637180866
36,-0.1706311838030011,0.14322704571252218,-1.1326206398886605,-0.6646783467286873,-1.3966071180196664,-2.4826132779240138,-4.445723416992402
37,-0.24256090722200857,0.31915372231061717,-1.1326206398886605,-0.6672858222527716,-1.3966071180196664,-2.4826132779240138,-4.37987936496892
38,-0.2428872041561237,0.2862954423526778,-1.1326206398886605,-0.6646783467286873,-1.3966071180196664,-2.478080271769907,-4.264268359632856
39,-0.27165098514730185,0.2964825079511307,-1.1326206398886605,-0.6568559201533966,-1.3966071180196664,-2.4826132779240138,-4.07166685921478
40,-0.27878613901117,0.2299169975391173,-1.1326206398886605,-0.6438185425367726,-1.3966071180196664,-2.4826132779240138,-3.8451322899807696
41,-0.39668997833917213,0.47625430770858196,-1.1326206398886605,-0.6542484446285528,-1.3966071180196664,-2.4690147993127076,-3.6163691981824093
42,-0.478524234392098,0.5620953352202088,-1.1326206398886605,-0.6542484446285528,-1.3966071180196664,-2.4690147993127076,-3.3474121371908065
43,-0.6098843876254707,0.595452994742796,-1.1326206398886605,-0.6516409691113039,-1.3966071180196664,-2.4644817935857586,-3.1288920066120545
