time;sine_signal;sawtooth_signal
0;-0.32410091123543233;-0.8632705068844027
1;1.051647629603755;-0.8187675238440929
2;3.0613400026416397;-0.9947976811732233
3;3.9201818302529277;-0.5574261029384746
4;5.2366803021326485;-0.5604384569076774
5;5.648869917374627;-0.4971468155148737
6;6.219738506573843;-0.3985315512073542
7;7.503854341643956;-0.25634128311210735
8;8.229020559216693;-0.16617868453707735
9;8.586783648784925;0.0629412799420635
10;9.335052943431144;-0.11797164510104577
11;9.546103501690544;-0.06730601348507959
12;9.501579347146551;0.08903223391261751
13;9.615307726890048;0.36868590073774377
14;9.675255155123628;0.6339610360494969
15;9.438442227759873;0.6072053974462869
16;9.222480939323418;0.45707683265534116
17;7.997484493995864;0.6366536136949226
18;7.537390507854318;0.7903127390415584
19;6.942156736698127;0.9547235086688769
20;5.574244399183699;-0.9601293852509579
21;4.295146572117361;-0.9973406007851588
22;3.413785820150105;-0.7285690364438678
23;2.1031651015633144;-0.6449498360721198
24;0.9757923035770423;-0.7747079266544783
25;-0.6166210958302341;-0.4308123426636945
26;-1.6589383314155346;-0.5041500901556564
27;-3.4808493785850967;-0.24178006115668774
28;-4.040308054564355;-0.27732311466902004
29;-5.821788796891218;0.12234002876893374
30;-6.346216313513848;0.07677204841935256
31;-7.299717722386906;-0.08166346179583434
32;-8.09119595233231;0.18543444602579975
33;-8.549019834003362;0.3456397969123855
34;-10.02220585112157;0.31785723615773315
35;-9.069932056617478;0.5446995461703525
36;-10.247062999867069;0.6374140688894783
37;-9.36722186595675;0.6595352851014873
38;-10.626305157132471;0.8763887740848925
39;-9.808474022053597;0.9168209704664924
40;-9.222202071380268;-1.0065331379475042
41;-8.373008146453907;-0.971688120054249
42;-8.636367768404122;-0.9644870140996177
43;-7.135765978267771;-0.7124150916156633
44;-5.403350556060066;-0.6313685070391488
45;-5.630907401379981;-0.5954966891423532
46;-3.6897567657786934;-0.2866212266828566
47;-2.6769910717585286;-0.2859172684003417
48;-0.9318375456592667;-0.24178406108414607
49;0.20506894189493485;0.012689097122352944
50;0.33151731623675657;-0.10116244660365009
51;0.6417865902122527;-0.09773536758521995
52;2.9186128340625794;0.08138164668756184
53;3.2897565441112997;0.3001392792908271
54;4.447939554757353;0.4623430358254854
55;5.072248926226505;0.5040633650628178
56;6.654623893368656;0.7069356798529455
57;8.003953251564722;0.7986099277556348
58;8.556235259306568;0.7280455481511996
59;9.028214426747276;1.1459295644487169
60;9.238012933616945;-1.0009083349614638
61;9.814977368021568;-1.0051281373853334
62;10.607769191606932;-0.8187396772393263
63;10.11307279415649;-0.778001565805886
64;10.176928252270532;-0.6589213207728897
65;9.33827412511618;-0.5941034161673973
66;9.073120822264475;-0.2714694469728678
67;8.839250347512788;-0.37436455241376826
68;7.162397445144066;-0.4405356613155256
69;7.005748993902652;-0.1364417870072394
70;5.5937367077611695;-0.03796833549623691
71;4.019717041200323;-0.11221190607194603
72;2.7763924939600932;0.2185183250766887
73;1.9898493965970558;0.2943016342152946
74;0.8532870408908017;0.5769753816674478
