,ID,sine_signal mu predicted,sawtooth_signal mu predicted
0,100.0,-0.06286892294883728,-0.8888858556747437
1,101.0,0.15856307744979858,-1.4789355993270874
2,102.0,0.3429039716720581,-1.3390032052993774
3,103.0,0.5274064540863037,-1.1593255996704102
4,104.0,0.6451495885848999,-0.966851770877838
5,105.0,0.7813708186149597,-0.7935246825218201
6,106.0,0.9074808359146118,-0.5981515645980835
7,107.0,1.0610264539718628,-0.4698741436004639
8,108.0,1.2132391929626465,-0.3268985152244568
9,109.0,1.3177087306976318,-0.1851566731929779
10,110.0,1.387996792793274,-0.05380634963512421
11,111.0,1.4288318157196045,0.13897745311260226
12,112.0,1.4350355863571167,0.3174463212490082
13,113.0,1.4499702453613281,0.4968926310539246
14,114.0,1.411211371421814,0.6608713269233704
15,115.0,1.347459316253662,0.7954041957855225
16,116.0,1.2398414611816406,0.9839355349540708
17,117.0,1.1193543672561646,1.176408052444458
18,118.0,1.010975360870361,1.4703510999679563
19,119.0,0.914336621761322,0.8111519813537598
20,120.0,0.7863867878913879,-0.5875623822212219
21,121.0,0.6054255366325378,-1.5042433738708496
22,122.0,0.42443206906318665,-1.3471492528915403
23,123.0,0.2731384634971619,-1.1515685319900513
24,124.0,0.08349905908107758,-0.9474124312400818
25,125.0,-0.07060045748949051,-0.7583791613578796
26,126.0,-0.22665660083293915,-0.6117602586746216
27,127.0,-0.430740088224411,-0.4740392863750458
28,128.0,-0.6069534420967102,-0.3217570781707764
29,129.0,-0.7572824358940125,-0.18247723579406736
30,130.0,-0.8877208828926086,0.00017954036593437195
31,131.0,-1.029166579246521,0.20307444036006927
32,132.0,-1.167630672454834,0.3810561001300812
33,133.0,-1.2587308883666992,0.5603819489479065
34,134.0,-1.3332172632217407,0.7197005152702332
35,135.0,-1.3919246196746826,0.8668591976165771
36,136.0,-1.4409433603286743,1.0686496496200562
37,137.0,-1.4407538175582886,1.222602367401123
38,138.0,-1.4304746389389038,1.483043909072876
39,139.0,-1.4076393842697144,0.7499138116836548
40,140.0,-1.3643879890441897,-0.4481583833694458
41,141.0,-1.2909847497940063,-1.4035778045654297
